DIA DE SEMANA;FALLECIDOS;AÑO
Lunes;334;2016
Martes;205;2016
Miércoles;191;2016
Jueves ;197;2016
Viernes;230;2016
Sábado;347;2016
Domingo;489;2016
Lunes;277;2017
Martes;159;2017
Miércoles;157;2017
Jueves ;192;2017
Viernes;171;2017
Sábado;243;2017
Domingo;389;2017
Lunes;249;2018
Martes;168;2018
Miércoles;194;2018
Jueves ;133;2018
Viernes;154;2018
Sábado;185;2018
Domingo;344;2018
Lunes;320;2019
Martes;225;2019
Miércoles;200;2019
Jueves ;247;2019
Viernes;223;2019
Sábado;310;2019
Domingo;570;2019
Lunes;292;2020
Martes;178;2020
Miércoles;189;2020
Jueves ;164;2020
Viernes;220;2020
Sábado;309;2020
Domingo;380;2020
Lunes;248;2021
Martes;154;2021
Miércoles;146;2021
Jueves;183;2021
Viernes;188;2021
Sábado;234;2021
Domingo;390;2021
